epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,982.019,1.30022,1.33432,1.41499,0.62483,0.52059,0.55587,0.33891,1.37309,1.34931,1.49265,0.0011684,0.0011684,0.0011684
44,1003.98,1.26036,1.34201,1.39984,0.59574,0.47028,0.52615,0.32164,1.36897,1.54734,1.4755,0.0011486,0.0011486,0.0011486
45,1026.05,1.27355,1.35296,1.4015,0.55331,0.54118,0.54736,0.33356,1.36355,1.40618,1.48456,0.0011288,0.0011288,0.0011288
46,1047.88,1.24437,1.32208,1.39149,0.59757,0.52647,0.55051,0.33459,1.32724,1.36911,1.44063,0.001109,0.001109,0.001109
47,1069.36,1.28519,1.31616,1.41506,0.5956,0.53088,0.56531,0.3419,1.39346,1.34791,1.48213,0.0010892,0.0010892,0.0010892
48,1091.37,1.27541,1.30809,1.40092,0.66463,0.53676,0.57871,0.35927,1.34622,1.28585,1.47541,0.0010694,0.0010694,0.0010694
49,1113.2,1.25734,1.2373,1.37791,0.57976,0.56604,0.56213,0.35206,1.32404,1.338,1.46124,0.0010496,0.0010496,0.0010496
50,1135.61,1.25213,1.27052,1.36515,0.57444,0.54706,0.558,0.34617,1.31876,1.35795,1.46221,0.0010298,0.0010298,0.0010298
51,1177.92,1.23437,1.27918,1.39497,0.63962,0.51618,0.56771,0.34663,1.34721,1.3055,1.47832,0.00101,0.00101,0.00101
52,1199.61,1.22905,1.26282,1.36734,0.63277,0.52059,0.57271,0.35582,1.3144,1.30511,1.44602,0.0009902,0.0009902,0.0009902
53,1221.37,1.24717,1.25762,1.38689,0.63806,0.50882,0.56021,0.34316,1.3393,1.35556,1.45381,0.0009704,0.0009704,0.0009704
54,1242.88,1.21393,1.26147,1.38084,0.65203,0.54412,0.57772,0.36544,1.31424,1.27893,1.47935,0.0009506,0.0009506,0.0009506
55,1264.46,1.19485,1.2587,1.36592,0.70026,0.51877,0.59713,0.38603,1.25726,1.2294,1.40918,0.0009308,0.0009308,0.0009308
56,1286.6,1.18969,1.22056,1.34872,0.69775,0.51471,0.59511,0.38161,1.32758,1.23508,1.48726,0.000911,0.000911,0.000911
57,1308.7,1.18184,1.21119,1.34454,0.64505,0.54706,0.59821,0.38915,1.25031,1.24315,1.42277,0.0008912,0.0008912,0.0008912
58,1330.74,1.18819,1.20767,1.34927,0.68345,0.53235,0.60144,0.38388,1.25613,1.24494,1.42908,0.0008714,0.0008714,0.0008714
59,1352.94,1.14602,1.17503,1.31661,0.6605,0.53971,0.58394,0.36287,1.27551,1.34563,1.43735,0.0008516,0.0008516,0.0008516
60,1374.41,1.16831,1.20506,1.35016,0.64063,0.56101,0.6069,0.38544,1.26496,1.2507,1.4278,0.0008318,0.0008318,0.0008318
61,1396.03,1.17232,1.20632,1.34282,0.6641,0.56029,0.60648,0.38655,1.25601,1.28217,1.40417,0.000812,0.000812,0.000812
62,1417.73,1.17145,1.15191,1.33747,0.71477,0.53436,0.61142,0.39058,1.26472,1.2491,1.40389,0.0007922,0.0007922,0.0007922
63,1439.39,1.14298,1.16123,1.3225,0.63536,0.58088,0.6027,0.38231,1.26649,1.23287,1.41421,0.0007724,0.0007724,0.0007724
64,1461.12,1.13858,1.13709,1.31669,0.67713,0.57794,0.6292,0.40205,1.24618,1.14896,1.39512,0.0007526,0.0007526,0.0007526
65,1483.29,1.12081,1.15478,1.3138,0.64408,0.58529,0.61923,0.40114,1.23108,1.18638,1.38859,0.0007328,0.0007328,0.0007328
66,1505.15,1.12445,1.11362,1.30542,0.66027,0.53824,0.6015,0.38756,1.24451,1.23361,1.38465,0.000713,0.000713,0.000713
67,1526.89,1.13652,1.10992,1.30692,0.67671,0.60735,0.65699,0.43285,1.21889,1.14762,1.3714,0.0006932,0.0006932,0.0006932
68,1548.57,1.13307,1.11258,1.32628,0.69522,0.57697,0.64679,0.43474,1.19509,1.11519,1.36025,0.0006734,0.0006734,0.0006734
69,1570.47,1.13468,1.11295,1.29795,0.70643,0.56912,0.63437,0.42221,1.23469,1.11961,1.37313,0.0006536,0.0006536,0.0006536
70,1592.69,1.13156,1.10434,1.27341,0.73725,0.56618,0.64309,0.431,1.20174,1.13429,1.36317,0.0006338,0.0006338,0.0006338
71,1614.37,1.0922,1.07061,1.29462,0.70278,0.58088,0.64575,0.43068,1.19959,1.14153,1.37566,0.000614,0.000614,0.000614
72,1635.98,1.11594,1.12257,1.30182,0.72835,0.59412,0.65623,0.43654,1.20293,1.10237,1.36794,0.0005942,0.0005942,0.0005942
73,1658.16,1.10477,1.072,1.29618,0.7108,0.57109,0.64869,0.43218,1.22867,1.11632,1.3858,0.0005744,0.0005744,0.0005744
74,1679.85,1.12634,1.06937,1.29811,0.70425,0.60588,0.66138,0.45082,1.1906,1.09284,1.38448,0.0005546,0.0005546,0.0005546
75,1702.38,1.09575,1.09088,1.28762,0.7732,0.575,0.6659,0.44533,1.19342,1.14351,1.36138,0.0005348,0.0005348,0.0005348
76,1724.07,1.08267,1.05404,1.28228,0.71079,0.59995,0.66496,0.45276,1.16977,1.09043,1.35553,0.000515,0.000515,0.000515
77,1745.89,1.10015,1.04049,1.2896,0.76237,0.56616,0.66954,0.4491,1.16059,1.07124,1.34437,0.0004952,0.0004952,0.0004952
78,1767.68,1.04086,1.00818,1.25807,0.80319,0.57206,0.67213,0.4599,1.14802,1.02473,1.3328,0.0004754,0.0004754,0.0004754
79,1790.54,1.0347,1.02529,1.25735,0.70761,0.59706,0.6606,0.44916,1.15406,1.08897,1.34968,0.0004556,0.0004556,0.0004556
80,1813.11,1.032,1.0274,1.27086,0.73365,0.58235,0.66816,0.45541,1.16993,1.06597,1.34903,0.0004358,0.0004358,0.0004358
81,1835.18,1.04712,1.00399,1.24848,0.77722,0.61567,0.70285,0.48023,1.12353,0.99946,1.31275,0.000416,0.000416,0.000416
82,1857.08,1.05465,1.00162,1.26353,0.72031,0.61735,0.68657,0.47126,1.12355,1.0354,1.32509,0.0003962,0.0003962,0.0003962
83,1878.84,1.01448,0.97823,1.25472,0.73616,0.61029,0.67587,0.47318,1.11987,1.01602,1.32309,0.0003764,0.0003764,0.0003764
84,1901.2,1.05742,1.00075,1.24952,0.77687,0.61176,0.70377,0.48359,1.12542,0.99236,1.32375,0.0003566,0.0003566,0.0003566
85,1923.33,1.02919,0.97341,1.25588,0.79054,0.60499,0.70314,0.48217,1.12381,0.98676,1.32397,0.0003368,0.0003368,0.0003368
86,1945.18,1.0374,0.98093,1.25349,0.77986,0.5991,0.69763,0.48035,1.10939,1.00257,1.3158,0.000317,0.000317,0.000317
87,1967.24,1.00734,0.94368,1.23387,0.7844,0.61912,0.70171,0.48252,1.11332,0.97259,1.31883,0.0002972,0.0002972,0.0002972
88,1989.7,0.99739,0.93715,1.23387,0.81452,0.61352,0.70263,0.49158,1.09336,0.96634,1.31159,0.0002774,0.0002774,0.0002774
89,2012.09,1.0035,0.95888,1.23986,0.80436,0.62059,0.70215,0.49176,1.10197,0.96936,1.31601,0.0002576,0.0002576,0.0002576
90,2035.3,1.03127,0.95621,1.2373,0.77888,0.61471,0.70576,0.48989,1.12112,0.97575,1.3239,0.0002378,0.0002378,0.0002378
91,2057.43,0.99925,0.96711,1.22768,0.79033,0.61765,0.70171,0.49293,1.1085,0.95166,1.33095,0.000218,0.000218,0.000218
92,2079.3,0.95575,0.88865,1.19584,0.80133,0.60441,0.71029,0.49677,1.09811,0.9527,1.31761,0.0001982,0.0001982,0.0001982
93,2101.61,0.94853,0.88077,1.19508,0.80147,0.61324,0.7098,0.50076,1.08982,0.95841,1.30683,0.0001784,0.0001784,0.0001784
94,2124.06,0.95943,0.86736,1.21194,0.81968,0.62794,0.72167,0.50827,1.08739,0.91834,1.30705,0.0001586,0.0001586,0.0001586
95,2145.7,0.92965,0.83614,1.17996,0.80515,0.625,0.72024,0.50588,1.07805,0.94684,1.29278,0.0001388,0.0001388,0.0001388
96,2166.74,0.9321,0.80445,1.17473,0.82717,0.61912,0.72755,0.51371,1.0821,0.9197,1.29372,0.000119,0.000119,0.000119
97,2188.22,0.9312,0.80181,1.17377,0.78542,0.63676,0.72949,0.51883,1.06946,0.91688,1.28989,9.92e-05,9.92e-05,9.92e-05
98,2210.92,0.91819,0.79601,1.16369,0.83692,0.62642,0.73065,0.51965,1.07073,0.90341,1.29006,7.94e-05,7.94e-05,7.94e-05
99,2232.02,0.91711,0.80119,1.17673,0.82355,0.63833,0.73404,0.521,1.07875,0.90194,1.29583,5.96e-05,5.96e-05,5.96e-05
100,2253.2,0.89408,0.78875,1.16452,0.83705,0.62698,0.73253,0.52151,1.08034,0.90685,1.30064,3.98e-05,3.98e-05,3.98e-05
